Pinyin Name,herb-id
BEI LIU JI NU,H400
BEI MA DOU LING,H401
BEI MA DOU LING GEN,H402
BEI MEI AI HAO,H403
BEI MEI E ZHANG QIU,H404
BEI MEI GUI JIU,H405
BEI MEI HONG SHAN,H406
BEI MEI QIU ZI JUE,H407
BEI MEI TING LI ZI,H408
BEI MEI XIANG BAI,H409
BEI MEI YA BAI,H410
BEI MEI YUAN BAI,H411
BEI MEI ZHOU SHAN GENG CAI,H412
BEI MU,H413
BEI MU LAN,H414
BEI QIAO SHI HU,H415
BEI SHA SHEN,H416
BEI SHA SHEN LIU JIN GAO,H417
BEI SHI SHAN CHENG,H418
BEI SHUI KU MAI,H419
BEI TING LI ZI,H420
BEI WU JIA PI,H421
BEI WU TOU,H422
BEI WU WEI,H423
BEI WU WEI ZI,H424
BEI XUAN SHEN,H425
BEI YE JU,H426
BEI YUE GOU TENG,H427
BEI ZI JIN,H428
BENG GE YUAN WEI,H429
BI  SHI LUO FU MU,H430
BI BA,H431
BI BA  GEN,H432
BI BA GEN,H433
BI BO,H434
BI CHEN JIA,H435
BI CHENG JIA,H436
BI CHENG QIE,H437
BI CHI YAN ZI CAI,H438
BI CHUAN JIU JIE MU.,H439
BI DONG QIE,H440
BI LI,H441
BI LIN BA JIAO LIAN,H442
BI LU GOU TENG,H443
BI LU GU KE,H444
BI LU MIAN ZAO ER,H445
BI LU XIANG JIAO,H446
BI LU ZHI XIAO BO,H447
BI MA GEN,H448
BI MA YE,H449
BI MA YOU,H450
BI MA ZI,H451
BI MAYE,H452
BI SHI DUI XIN JU,H453
BI SHI LUO FU MU,H454
BI TAO GAN,H455
BI XIE,H456
BI YU SAN,H457
BI ZHI TANG SONG CAO,H458
BI ZI CU FEI,H459
BIAN BAI MA LI JIN,H460
BIAN BAO LIN MAO JUE,H461
BIAN BAO MA LI JIN,H462
BIAN BING HUANG JIN,H463
BIAN DA XIU QIU,H464
BIAN DI JIN,H465
BIAN DO YI,H466
BIAN DOU,H467
BIAN DOU CAI YE BAI JIANG,H468
BIAN DOU GEN,H469
BIAN DOU HUA,H470
BIAN DOU TENG,H471
BIAN DOU YE,H472
BIAN FU GE,H473
BIAN FU GE GEN,H474
BIAN FU GE JEN,H475
BIAN GUO JIAO GU LAN,H476
BIAN JIA SHAN LI DOU,H477
BIAN JING HUANG QI,H478
BIAN JING YAN JIE CAO,H479
BIAN PING JU,H480
BIAN SE HE KE BAO.,H481
BIAN SE MA DOU LING,H482
BIAN SE SHI ZHU,H483
BIAN SHUO TENG,H484
BIAN TAI,H485
BIAN TAO,H486
BIAN TAO ZHUANG BAN JIU JU,H487
BIAN XING MU LAN,H488
BIAN XU,H489
BIAN YE TIE XIAN JUE,H490
BIAN YI FENG WEI JUE,H491
BIAN YUAN BIAN E TAI.,H492
BIAN YUAN LIN GAI JUE,H493
BIAN YUAN LIN MAO JUE,H494
BIAN ZHI HU JI SHENG,H495
BIAN ZHONG CHANG YE AN LUO,H496
BIAN ZHONG JIAN HUAI TENG,H497
BIAN ZHU GEN,H498
BIAN ZHU TANG SONG CAO,H499
BICHENG QIE,H500
BIE JIA,H501
BIE ZHI LIU LI CAO,H502
BIN HAI DANG GUI,H503
BIN HAI QIAN HU,H504
BIN HAO,H505
BIN LANG,H506
BIN MU JING,H507
BIN XI FA NI YA CANG ER,H508
BING DAO YI,H509
BING DOU,H510
BING GUO HU JI SHENG,H511
BING GUO HUA JIAO,H512
BING GUO TANG SONG CAO,H513
BING HUA JU.,H514
BING LANG,H515
BING PIAN,H516
BING SHE CHUANG,H517
BING TANG,H518
BING TOU CAO,H519
BING TOU HUANG QIN,H520
BING YE SUO LUO.,H521
BO AI DA JI,H522
BO BAN HE YE TAI.,H523
BO CAI,H524
BO GE BAN JIU JU,H525
BO HE,H526
BO HE NAO,H527
BO HE YOU,H528
BO LE SHU,H529
BO LENG GUA ZI,H530
BO LI ZI  HUA JIAO,H531
BO LI ZI HUA JIAO,H532
BO LIN JU,H533
BO LING HAO,H534
BO LU DU SHU,H535
BO LU HUI,H536
BO LU MI,H537
BO LUN LIN HUA RUAN SHAN HU,H538
BO LUO HUI,H539
BO LUO MI,H540
BO LUO XIANG TENG.,H541
BO NIANG HAO,H542
BO PI HUANG GUA,H543
BO SHI AN,H544
BO SHI CI TIONG,H545
BO SHI CI TONG,H546
BO SHI QIAN HU,H547
BO SHI QIE,H548
BO SHI WU TAN,H549
BO SHI WU ZHU YU,H550
BO SI A WEI BIAN ZHONG,H551
BO SI YI MU CAO,H552
BO SI YING SU,H553
BO TE LAN DA JI,H554
BO XI SHU LI,H555
BO YE DA HUANG,H556
BO YE KU MU,H557
BO YE SHAN CHENG,H558
BO YE WANG YI ZAO.,H559
BO YE WU TOU,H560
BROWN ALGA,H561
BU CHANG NAN MEI DENG MU,H562
BU DENG HONG HOU KE,H563
BU DUI CHENG MAO RU,H564
BU GU ZHI,H565
BU LANG WEI JI.,H566
BU MEI HE BAO HUA,H567
BU SHI LONG DAN,H568
BU XUE CAO,H569
BU YING CAO,H570
BU YU HONG,H571
BU ZHA YE,H572
BU ZU ZHI,H573
BUI,H574
CA SAN JIA,H575
CAI BAN YANG TI JIA,H576
CAI DOU SHU,H577
CAI FU ZI,H578
CAI JI,H579
CAI SHI MU MA SANG,H580
CAI SI CANG ER,H581
CAI WEN QIAN JIN TENG,H582
CAN DOU,H583
CAN DOU JIA KE,H584
CAN DOU JING,H585
CAN DOU KE,H586
CAN DOU YE,H587
CAN JIAN,H588
CAN SANG,H589
CAN SHA,H590
CANG BAI CHENG GOU FENG,H591
CANG BAI FEN TENG,H592
CANG BAI QI SHE TAI.,H593
CANG BAI ZI JIN,H594
CANG CHANG PU,H595
CANG ER,H596
CANG ER CAO,H597
CANG ER GEN,H598
CANG ER HUA,H599
CANG ER ZI,H600
CANG JIA,H601
CANG JIA GEN,H602
CANG MAO JIN FA XUAN,H603
CANG SHAN XIANG CHA CAI,H604
CANG ZHU,H605
CANGBAI CHUNG GOU FENG,H606
CAO BEI MU,H607
CAO BEN WEI LING XIAN,H608
CAO CONG RONG,H609
CAO DI MAO GEN,H610
CAO DI WU TOU,H611
CAO DIAN QIAN LI GUANG,H612
CAO DOU KOU,H613
CAO GU,H614
CAO GUO,H615
CAO HU JIAO,H616
CAO JUE MING,H617
CAO KOU REN,H618
CAO MAO JIA DU JUAN.,H619
CAO MEI,H620
CAO MEI CHE ZHOU CAO,H621
CAO SHAN HU JIN GAO,H622
CAO SHAO YAO,H623
CAO SU,H624
CAO WEN JING,H625
CAO WU,H626
CAO WU JIU,H627
CAO WU TOU,H628
CAO WU YE,H629
CAO XIANG WAN DOU,H630
CAO YE BAI JIANG,H631
CAO YE YI WA  JU.,H632
CAO YUAN DA JI,H633
CAO YUAN LAO GUAN CAO,H634
CAULIS PIPERIS KADSURAE,H635
CE BAI TAN,H636
CE BAI YE,H637
CE BAI ZHI JIE,H638
CE ZI,H639
CEN PI,H640
CENG KONG JUN,H641
CHA  ZI XIN,H642
CHA HUA,H643
CHA MEI,H644
CHA MI SEN TUN CAO,H645
CHA QI FAN LU,H646
CHA QIE,H647
CHA RU SHI WAN CUO,H648
CHA RUI SHU YU,H649
CHA SHI SHE BIAN JU,H650
CHA SHU,H651
CHA SHU GEN,H652
CHA TIAO QI,H653
CHA XIAN XIN JIANG HAO BEN,H654
CHA XIONG,H655
CHA YE,H656
CHA YOU,H657
CHA YU BIAN DI JIN,H658
CHA ZI,H659
CHA ZI XIN,H660
CHA ZI YUAN BAI,H661
CHAI HU,H662
CHAI HU JIN GAO,H663
CHAI HU SHAO,H664
CHAI HU ZHUANG QIAN LI GUANG,H665
CHAI HU ZHUNG QIAN LI GUANG,H666
CHAI HUANG JIANG,H667
CHAI HUNG JIANG,H668
CHAI PI ZHANG,H669
CHAI SHOU,H670
CHAMPA,H671
CHAN CHU,H672
CHAN CHU DAN,H673
CHAN GAO MU JIANG ZI,H674
CHAN PI,H675
CHAN RAO HUANG TAN,H676
CHAN SU,H677
CHAN TUI,H678
CHAN YANG,H679
CHAN YI TENG,H680
CHANG BAI SHAN BAO CHUN,H681
CHANG BAI SONG,H682
CHANG BAN JIN LIAN HUA,H683
CHANG BIAN HU JIAO,H684
CHANG BIAN HUA DANG GUI,H685
CHANG BING FENG WEI JUE,H686
CHANG BING HU JIAO,H687
CHANG BING QI YE SHU,H688
CHANG BING YUAN BAI,H689
CHANG CHUN HUA,H690
CHANG CHUN TENG,H691
CHANG CHUN YOU MA TENG,H692
CHANG DI YU,H693
CHANG E JIN LIAN MU PI,H694
CHANG E QU MAI,H695
CHANG E XIANG CHA CAI,H696
CHANG GENG BAI RUI CAO,H697
CHANG GENG CU FEI,H698
CHANG GENG DONG QING,H699
CHANG GENG JIAO GU LAN,H700
CHANG GENG NAN WU WEI ZI,H701
CHANG GENG YU LI REN,H702
CHANG GUAN JIA MO LI,H703
CHANG GUAN XIANG CHA CAI,H704
CHANG GUAN XUAN CAO,H705
CHANG GUO BI BA,H706
CHANG GUO XUE DAN,H707
CHANG GUO YING SU,H708
CHANG HU JIAO.,H709
CHANG HUA BAN KE YA SHU,H710
CHANG HUA GOU TENG,H711
CHANG HUA RUI MU,H712
CHANG HUA TU LA SHU,H713
CHANG HUA XIE CAO,H714
CHANG HUA XU MA QIAN ZI,H715
CHANG HUI AN,H716
CHANG JI HUANG.,H717
CHANG JIAO DOU,H718
CHANG JIE ZHU,H719
CHANG JU YAN HU SUO,H720
CHANG LU GOU WEN,H721
CHANG LV GOU WEN,H722
CHANG MAO FENG MAO JU,H723
CHANG MAO HAN XIAO,H724
CHANG MAO XIANG KE KE,H725
CHANG MAO ZI YUAN ZHI,H726
CHANG NIU JIAO GUA,H727
CHANG PU,H728
CHANG QIAN HU,H729
CHANG ROU MAO WEI LING CAI,H730
CHANG RUI LIU LI CAO,H731
CHANG SHAN,H732
CHANG SHENG TIE JIAO JUE,H733
CHANG SHUO HUANG MA,H734
CHANG SUI BA DOU,H735
CHANG SUI DI YU,H736
CHANG TONG HAN HUA,H737
CHANG TONG QU MAI,H738
CHANG WEI CU YE MU,H739
CHANG WEI FU YE ER JUE,H740
CHANG XIANG MAO,H741
CHANG XU XIE CAO,H742
CHANG YANG,H743
CHANG YAO GE CHONG LOU,H744
CHANG YE AI JU,H745
CHANG YE AN LUO,H746
CHANG YE BO HE,H747
CHANG YE BO YE DA HUANG,H748
CHANG YE CHANG CHUN HUA,H749
CHANG YE CHE QIAN,H750
CHANG YE DI YU,H751
CHANG YE FEI SHU,H752
CHANG YE GE NA XIANG,H753
CHANG YE HOU KE GUI,H754
CHANG YE KUAN MU.,H755
CHANG YE MAN MI PING GUO,H756
CHANG YE QIAN LI GUANG,H757
CHANG YE SHUI MA,H758
CHANG YE SONG,H759
CHANG YE TIAN MING JING,H760
CHANG YE XIANG CHA CAI,H761
CHANG YU YE LUO BO,H762
CHANG YUAN XIN XING HU TONG,H763
CHANG YUAN YE XIAO BO,H764
CHANG ZHU TANG SONG CAO,H765
CHANG ZI MA QIAN,H766
CHANGBIAN HUA DANG GUI,H767
CHAO AO DING CAO.,H768
CHAO FENG CAO,H769
CHAO MAI YA,H770
CHAO SHAN JIA,H771
CHAO SHAN JIA ZHU,H772
CHAO SHEN QU,H773
CHAO SU ZI,H774
CHAO XIAN BAI TOU WENG,H775
CHAO XIAN CANG ZHU,H776
CHAO XIAN DA BAI LI XIANG,H777
CHAO XIAN DANG GUI,H778
CHAO XIAN HUAI,H779
CHAO XIAN JI,H780
CHAO XIAN LANG YA CI,H781
CHAO XIAN LENG SHAN,H782
CHAO XIAN LIAN QIAO,H783
CHAO XIAN LUO WAN.,H784
CHAO XIAN WU JIA,H785
CHAO XIAN YIN YANG HUO,H786
CHAO XIANG GAN CHAN CHU,H787
CHAO ZAO REN,H788
CHAO ZHI QIAO,H789
CHE QIAN,H790
CHE QIAN CAO,H791
CHE QIAN YE LAN JI,H792
CHE QIAN YU CHEN QIAN CAO,H793
CHE QIAN ZI,H794
CHE SANG ZI YE,H795
CHE SHI NAN,H796
